epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4416,0.94804,0.60477,0.96837,0.99316,1,0.995,0.76111,0.41166,0.37231,0.44679,0.000162963,0.000162963,0.0675704
2,39.6098,0.84833,0.5159,0.91412,0.98404,1,0.995,0.837,0.42293,0.38611,0.45267,0.000321471,0.000321471,0.0343955
3,54.369,0.83198,0.50051,0.91497,0.99238,1,0.995,0.84734,0.35508,0.27447,0.44242,0.00047173,0.00047173,0.00121247
4,69.139,0.82894,0.4897,0.93019,0.99141,1,0.995,0.85504,0.35873,0.23151,0.44629,0.000462875,0.000462875,0.000462875
5,83.6857,0.75522,0.4568,0.90712,0.99249,1,0.995,0.85175,0.35611,0.23844,0.44605,0.0004505,0.0004505,0.0004505
6,98.2494,0.75868,0.45356,0.91909,0.99255,1,0.995,0.81382,0.38549,0.23558,0.44891,0.000438125,0.000438125,0.000438125
7,112.873,0.80624,0.46698,0.91808,0.98877,1,0.995,0.8365,0.38324,0.24168,0.4431,0.00042575,0.00042575,0.00042575
8,127.615,0.75629,0.43195,0.89401,0.98738,1,0.995,0.827,0.35571,0.24853,0.43802,0.000413375,0.000413375,0.000413375
9,142.371,0.73981,0.42585,0.89535,0.98969,1,0.995,0.81179,0.35316,0.24214,0.4313,0.000401,0.000401,0.000401
10,157.197,0.71184,0.42362,0.89784,0.99107,1,0.995,0.82125,0.3941,0.26543,0.43786,0.000388625,0.000388625,0.000388625
11,172.062,0.73331,0.42582,0.905,0.98982,1,0.995,0.8235,0.35881,0.24262,0.43586,0.00037625,0.00037625,0.00037625
12,186.806,0.67392,0.39988,0.88158,0.99344,1,0.995,0.821,0.38258,0.22477,0.4427,0.000363875,0.000363875,0.000363875
13,201.451,0.71038,0.41739,0.89475,0.99353,1,0.995,0.821,0.37004,0.21696,0.43888,0.0003515,0.0003515,0.0003515
14,216.098,0.68355,0.40332,0.88407,0.99343,1,0.995,0.82171,0.38009,0.20833,0.44343,0.000339125,0.000339125,0.000339125
15,230.89,0.69458,0.39285,0.88706,0.99334,1,0.995,0.79467,0.42125,0.22125,0.44892,0.00032675,0.00032675,0.00032675
16,245.851,0.65887,0.38204,0.88402,0.99219,1,0.995,0.83142,0.38633,0.22141,0.44121,0.000314375,0.000314375,0.000314375
