epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.003,0.99752,0.60931,0.95394,0.98565,0.90909,0.98115,0.58937,1.08186,0.58717,0.96965,0.00016358,0.00016358,0.0674475
2,36.6301,0.90874,0.53912,0.93463,0.99481,1,0.995,0.70138,0.83397,0.45195,0.92778,0.000322073,0.000322073,0.0342727
3,54.099,0.89064,0.52205,0.93883,0.99512,1,0.995,0.72663,0.82117,0.46568,0.91598,0.000472316,0.000472316,0.0010896
4,71.5148,0.8774,0.50269,0.92392,0.99538,1,0.995,0.70804,0.89773,0.53118,0.92636,0.000462875,0.000462875,0.000462875
5,88.8423,0.81875,0.46474,0.9117,0.99019,1,0.995,0.75032,0.87401,0.4644,0.93988,0.0004505,0.0004505,0.0004505
6,106.025,0.78981,0.45324,0.90098,0.99406,1,0.995,0.78334,0.77945,0.42594,0.93995,0.000438125,0.000438125,0.000438125
7,123.162,0.83179,0.47395,0.91426,0.99442,1,0.995,0.73741,0.84779,0.43167,0.93826,0.00042575,0.00042575,0.00042575
8,140.3,0.77658,0.46292,0.90132,0.99346,1,0.995,0.77752,0.78057,0.42584,0.9251,0.000413375,0.000413375,0.000413375
9,157.631,0.77968,0.44183,0.89687,0.99252,1,0.995,0.76484,0.81868,0.43836,0.9377,0.000401,0.000401,0.000401
10,174.796,0.74283,0.42818,0.89478,0.99421,1,0.995,0.7719,0.80149,0.41224,0.92191,0.000388625,0.000388625,0.000388625
11,191.858,0.78643,0.44767,0.89304,0.99294,1,0.995,0.74984,0.90245,0.42023,0.94274,0.00037625,0.00037625,0.00037625
12,209.252,0.79984,0.43795,0.89978,0.99128,1,0.995,0.75707,0.92021,0.44547,0.95985,0.000363875,0.000363875,0.000363875
13,226.567,0.76009,0.42586,0.88687,0.99181,1,0.995,0.7454,0.95393,0.41743,0.9502,0.0003515,0.0003515,0.0003515
14,243.969,0.7092,0.40287,0.8851,0.9935,1,0.995,0.77451,0.90224,0.45292,0.94104,0.000339125,0.000339125,0.000339125
15,262.241,0.71872,0.40986,0.88451,0.99112,1,0.995,0.77425,0.9316,0.43498,0.9328,0.00032675,0.00032675,0.00032675
16,281.502,0.7344,0.41941,0.89081,0.96812,1,0.995,0.73716,0.85679,0.45847,0.9291,0.000314375,0.000314375,0.000314375
17,301.099,0.73838,0.4178,0.89307,0.98704,1,0.995,0.7302,0.87586,0.43876,0.92666,0.000302,0.000302,0.000302
18,320.656,0.74159,0.40066,0.88901,0.99413,1,0.995,0.74124,0.89891,0.4054,0.94127,0.000289625,0.000289625,0.000289625
19,340.198,0.70683,0.39767,0.8806,0.99383,1,0.995,0.75861,0.94458,0.41148,0.936,0.00027725,0.00027725,0.00027725
20,359.693,0.74251,0.41327,0.8899,0.99315,1,0.995,0.75183,0.93431,0.40548,0.94596,0.000264875,0.000264875,0.000264875
21,379.517,0.70674,0.38247,0.88233,0.9934,1,0.995,0.78244,0.84943,0.39312,0.93467,0.0002525,0.0002525,0.0002525
